date,my_HML,my_SMB,FF_HML,FF_SMB
2002-10-31,-3.9180670987527746,-3.4039720562064475,-3.94,   -3.42
2002-09-30,1.2898288698824298,2.333224613027053,1.45,    2.41
2002-08-31,3.061838487200816,-2.8165115619831878,3.28,   -2.86
2002-07-31,-3.563609151253645,-5.076213479817011,-3.85,   -5.28
2002-06-30,0.8826361667763322,3.8901819186051907,-0.05,    4.29
2002-05-31,1.4512350129418643,-3.0048873002839698,1.53,   -3.21
2002-04-30,3.2228773680540495,6.412659944460181,3.88,    5.96
2002-03-31,0.3611398458100365,4.396093432570216,1.06,    4.21
2002-02-28,1.8699824107032137,-0.7426000507837819,2.16,   -1.01
2002-01-31,3.367010512299541,1.2055347725566374,3.44,    1.19
2001-12-31,1.1578829572447407,4.544218960095474,0.84,    4.74
2001-11-30,2.068854565639569,-0.46306452174341983,2.21,   -0.47
2001-10-31,-8.539003158952163,8.407336237553281,-7.65,    7.48
2001-09-30,2.471809656394293,-6.97094472205492,1.45,   -6.23
2001-08-31,2.9493613998629487,2.1829686700909248,2.31,    2.48
2001-07-31,6.642979979305908,-5.167533630949567,5.21,   -4.19
2001-06-30,-1.288373208302308,6.43471642684446,-1.12,    6.24
2001-05-31,3.4047510924190143,2.6243645764821304,3.36,    2.50
2001-04-30,-4.65190153037116,0.49655781218579387,-4.67,    0.55
2001-03-31,6.530533540290516,0.04703153982443045,6.42,    0.25
2001-02-28,12.336648816746559,-0.9448648471092114,12.47,   -0.78
2001-01-31,-5.245939430307444,6.86208519182307,-5.07,    6.68
2000-12-31,7.877609479857008,0.5979120018338606,7.61,    0.73
2000-11-30,12.336331571761148,-3.6824078763273893,12.3,   -3.41
2000-10-31,5.667219642307631,-4.168771664379282,5.71,   -3.88
2000-09-30,7.267101005223424,-1.9897698526659573,7.17,   -1.82
2000-08-31,-1.3442567977883957,-0.7232108436032489,-1.39,   -0.61
2000-07-31,8.370762432090352,-3.192407148103597,8.31,   -3.07
2000-06-30,-8.268173536551933,12.809411741421616,-8.42,   12.84
2000-05-31,4.80378577184081,-6.259270700895519,4.75,   -6.05
2000-04-30,7.606556523186993,-6.9100417413681825,7.26,   -6.68
2000-03-31,8.478843773095823,-17.364795353148622,8.13,  -17.20
2000-02-29,-9.631444600561286,21.339551420187032,-9.59,   21.36
2000-01-31,-1.715028739408371,5.67978135021033,-1.88,    5.77
1999-12-31,-7.61533977489318,6.706712635828678,-8.33,    7.03
1999-11-30,-5.787426690850353,7.083630846234669,-6.12,    7.21
1999-10-31,-3.51603868759741,-6.566887065530603,-3.37,   -6.64
1999-09-30,-3.6846017912975535,3.637586074193434,-3.49,    3.41
1999-08-31,-1.8152655001760813,-0.9947398517812733,-1.87,   -0.94
1999-07-31,-0.2942070731459884,2.4448324148955085,-0.44,    2.60
1999-06-30,-3.5533388019777874,3.054230424316097,-3.19,    3.10
1999-05-31,2.5242914052488885,3.4097485551076696,2.35,    3.34
1999-04-30,2.5475397483975595,3.642920095167448,2.46,    3.91
1999-03-31,-2.789771952333314,-3.6628838487065787,-2.74,   -3.80
1999-02-28,1.8859818484723165,-5.890709827932415,1.92,   -6.08
1999-01-31,-4.745071589347803,0.49784592371423364,-4.6,    0.75
1998-12-31,-4.734292232030652,-0.18325415674936632,-4.19,   -0.50
1998-11-30,-3.1109744168077325,1.0806874639183075,-3.25,    1.23
1998-10-31,-2.557409121745774,-3.0722454930234866,-2.23,   -3.12
1998-09-30,-3.503222810402408,0.025660246756577243,-3.42,    0.09
1998-08-31,3.7971607102545213,-5.610891338067637,3.53,   -5.69
1998-07-31,-1.454558799264262,-4.9228914578874035,-1.78,   -4.91
1998-06-30,-1.9336274562537958,-3.301694746350613,-1.96,   -3.21
1998-05-31,3.243563732104024,-3.5014309339903265,3.44,   -3.38
1998-04-30,0.9093324366657605,0.059543271422203906,0.94,    0.07
1998-03-31,1.4281500779367844,-1.2445644439039207,1.39,   -1.14
1998-02-28,-0.7270390991870018,0.17690273714608962,-0.85,    0.32
1998-01-31,-1.6124426504289568,-1.0602899324079091,-1.63,   -1.07
1997-12-31,3.7123536457767727,-2.2704226722124257,3.84,   -2.48
1997-11-30,1.3455210342084023,-5.1623769140727935,1.2,   -5.12
1997-10-31,2.1084104294815593,-0.6879706703467082,2.27,   -0.73
1997-09-30,0.31674127995805906,2.5656689086193873,0.37,    2.53
1997-08-31,1.1678264453110114,7.271021281977736,1.18,    7.28
1997-07-31,0.2715543793078992,-2.6659568494435586,0.26,   -2.74
